cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age_days,strength,age_hours,temperature,humidity,curing_method
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076,672.0,19.9816047538945,22.59053443008448,0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576,672.0,43.02857225639664,61.73889149374372,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005,6480.0,34.2797576724562,36.100618610139215,1
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992,8760.0,28.946339367881464,28.43968200440952,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096,8640.0,11.24074561769746,25.38672411404464,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436,2160.0,11.239780813448109,68.74021431146979,1
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404,8760.0,7.323344486727978,43.79124746376464,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788,672.0,39.647045830997406,70.73367400701329,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856,672.0,29.04460046972835,24.57494385592597,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986,672.0,33.32290311184182,42.07032364814272,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672,2160.0,5.823379771832098,57.7643904662736,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592,672.0,43.79639408647977,75.35062153872744,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026,6480.0,38.29770563201687,42.312675205244894,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164,2160.0,13.493564427131046,63.81239635059064,1
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648,672.0,12.272998688284025,82.0184423765331,1
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812,2160.0,12.336180394137353,63.11042317276132,1
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984,2160.0,17.16968971838151,36.30716323275436,0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252,8760.0,25.990257265289515,21.70805470895766,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032,2160.0,22.27780074568463,80.90692117306509,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416,4320.0,16.649165607921677,21.4888587595271,1
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204,4320.0,29.47411578889518,81.22911708789397,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958,672.0,10.579754426081674,57.02559938190484,0
